,city,country,lat,lng,date,max_temp,humidity,cloudiness,windspeed
359,guerrero negro,mx,18.12060297546377,-123.99838049840851,1552788240,57.87,66.0,12.0,7.38
360,hambantota,lk,-3.9808130020089294,85.87905468457552,1552785000,77.0,100.0,40.0,3.36
361,nakamura,jp,32.88552964505637,133.25795373035226,1552788173,55.0,52.0,75.0,11.41
362,jiangyou,cn,33.00849293017613,104.65201636087879,1552788243,55.89,77.0,76.0,3.58
363,saint anthony,ca,51.075968671560275,-56.709501881576635,1552788117,39.2,47.0,1.0,6.93
364,dingle,ie,51.220679991551116,-17.002700733269364,1552788246,83.21,67.0,48.0,14.09
365,uray,ru,59.77551130115042,64.5262417071167,1552788247,10.31,74.0,0.0,4.7
366,cartagena del chaira,co,0.7053229002492856,-73.94994866844979,1552788248,72.68,97.0,76.0,1.68
367,marawi,sd,18.252496089261285,28.776014142247053,1552788112,80.01,82.0,64.0,7.0
368,argayash,ru,55.44430332305425,60.815280047054955,1552786200,17.6,72.0,0.0,6.71
369,sechura,pe,-6.931646827411754,-81.69089210750245,1552788252,77.67,79.0,76.0,6.6
370,lala,in,24.57007626620974,92.78599496899893,1552788253,87.08,56.0,8.0,3.36
371,luzino,ru,55.0500631120193,72.9106063672863,1552786200,17.6,92.0,75.0,8.95
372,bozuyuk,tr,39.840011636748415,29.832860997704838,1552785600,48.2,66.0,75.0,5.82
373,quatre cocos,mu,-17.792693477965244,65.42237221489178,1552784400,77.0,83.0,75.0,6.93
374,katobu,id,-5.056179001297579,124.7922551301516,1552788258,84.33,91.0,64.0,2.35
375,ust-nera,ru,63.07014109377312,142.52744139644625,1552788259,-4.59,58.0,0.0,1.79
376,zharkent,kz,42.93059396277843,79.79006635985087,1552788260,28.26,50.0,0.0,2.24
377,aksarka,ru,68.11081460086473,68.1962479479975,1552788262,1.53,70.0,56.0,10.51
378,hudson bay,ca,53.21962817873393,-103.1415976907908,1552788263,29.25,82.0,0.0,5.48
379,kiunga,pg,-5.951089860676078,141.70010285721642,1552788265,83.79,75.0,44.0,3.24
380,fuerte olimpo,py,-20.043614849098066,-58.583220650369675,1552788267,74.93,96.0,36.0,2.46
381,uglezavodsk,ru,47.49303202497634,142.67109993978502,1552786200,28.4,100.0,20.0,6.71
382,solnechnyy,ru,59.35600488876179,137.047214647288,1552788270,35.06,73.0,20.0,3.58
383,flin flon,ca,61.121903353790856,-102.7965976162158,1552788271,31.14,77.0,92.0,6.49
384,hazorasp,uz,39.62425012862178,60.487221888174645,1552786200,48.2,87.0,0.0,9.17
385,pangody,ru,67.5891935886132,75.23215256328191,1552788275,-7.97,63.0,36.0,3.13
386,buritizeiro,br,-17.408259847688356,-45.518460977094456,1552788276,69.44,98.0,64.0,6.93
387,cabo san lucas,mx,21.28079864845222,-111.4144075904874,1552788110,69.01,72.0,90.0,8.05
388,baykit,ru,65.73517782090022,94.16096237179285,1552788278,10.53,75.0,0.0,4.7
389,domazlice,cz,49.55217813290096,12.857293531139447,1552788210,46.0,75.0,0.0,9.17
390,vardo,no,89.02084648207399,34.732093841320165,1552788248,42.8,41.0,75.0,11.41
391,victor harbor,au,-36.58259569181135,138.98517537272295,1552788215,90.0,53.0,0.0,10.29
392,yurginskoye,ru,57.1264092362897,67.92564253244231,1552788283,16.61,81.0,0.0,4.36
393,caravelas,br,-18.89940497465666,-28.927402186913586,1552788284,83.16,100.0,0.0,14.65
394,sidney,us,47.99837867565532,-104.22986555649194,1552788125,33.8,69.0,1.0,9.17
395,dakoro,ne,14.840176718318276,7.116079634941088,1552788288,75.24,23.0,20.0,14.65
396,san jose,gt,9.396872373134855,-92.88950766917627,1552788052,82.04,71.0,0.0,3.91
397,veraval,in,17.968133287610172,68.72992729465585,1552788256,48.99,81.0,76.0,19.46
398,kununurra,au,-18.54118399484624,127.8421697358758,1552787520,89.6,62.0,75.0,9.17
399,tuy hoa,vn,12.791830019181633,112.10713581516927,1552788055,75.74,100.0,88.0,7.61
400,krasnaya gora,ru,53.046147983271744,31.170869019829496,1552784400,37.4,93.0,90.0,8.95
401,juneau,us,58.91923308089707,-134.86885638535466,1552784160,46.4,93.0,90.0,18.34
402,qaqortoq,gl,67.09905713852001,-44.54628539439517,1552783800,35.6,47.0,92.0,18.34
403,grand-santi,gf,3.318648765575276,-53.84382388503381,1552788220,77.67,77.0,8.0,4.03
404,muscat,om,24.696762485523337,58.25010663186189,1552783800,71.6,78.0,0.0,4.7
405,qujing,cn,25.782571565030427,103.38462451064636,1552788304,64.08,44.0,0.0,17.67
406,coahuayana,mx,9.599904214726793,-108.16404937672961,1552788305,66.69,60.0,20.0,2.01
407,tabuk,sa,28.68545694147653,36.25879844746035,1552788307,73.17,78.0,32.0,1.57
408,tartagal,ar,-23.02614774736809,-63.06591742485668,1552788200,74.07,85.0,68.0,6.38
409,yershichi,ru,53.51429174600202,32.923557692709515,1552788310,36.54,96.0,92.0,6.04
410,opuwo,na,-20.22768244721334,9.657908082633725,1552788311,60.71,65.0,8.0,2.91
411,golden,ca,52.20024140128089,-116.94312564642124,1552787184,17.01,82.0,8.0,15.99
412,makokou,ga,1.1053230092343114,13.630384580493939,1552788314,69.71,97.0,68.0,2.01
413,gudur,in,17.140949312127347,78.89744745770442,1552786200,73.4,83.0,20.0,1.57
414,nanning,cn,23.266843347887946,108.20713501800265,1552784400,59.0,93.0,90.0,4.47
415,arlit,ne,22.29411966281305,5.349240185756713,1552788302,62.69,60.0,0.0,8.16
416,la roda,es,39.54233560106377,-1.9328453390461109,1552788010,48.2,49.0,0.0,5.82
417,jhawarian,pk,32.491432747130034,72.65224717740296,1552788320,57.96,64.0,0.0,2.68
418,pamanukan,id,-6.012521895375315,107.74635568045107,1552788322,82.13,100.0,68.0,5.37
419,rio gallegos,ar,-53.1678140117382,-68.69813069522577,1552784400,59.0,93.0,92.0,4.7
420,karratha,au,-19.92714616052781,114.57778866741478,1552788241,98.64,32.0,0.0,6.26
421,hof,no,61.418993805529226,13.179948577345044,1552788317,44.01,89.0,8.0,11.99
422,champerico,gt,9.474421588384516,-94.83821642287876,1552783440,69.8,68.0,5.0,17.22
423,pacific grove,us,33.107474734163326,-127.7856882291,1552788066,66.2,52.0,1.0,8.05
424,bayanday,ru,52.883518903672716,105.45521514122645,1552788330,42.89,55.0,64.0,4.36
425,sao miguel do araguaia,br,-12.584015525533431,-51.068640963274156,1552788332,75.96,92.0,0.0,2.68
426,coquimbo,cl,-28.546848769976023,-73.55229461863651,1552784400,59.0,82.0,90.0,4.7
427,mzimba,mw,-12.409989563889908,33.826494558562324,1552788334,60.57,70.0,8.0,5.37
428,kieta,pg,-0.5953807764542347,159.50861084636327,1552788335,83.52,97.0,0.0,3.47
429,chiredzi,zw,-21.6265468087375,32.163181679201195,1552788336,68.58,96.0,92.0,8.5
430,melita,ca,49.19727317731046,-100.80889023238348,1552788289,27.0,92.0,0.0,7.0
431,dakar,sn,15.113919379044715,-18.24428609548667,1552786200,68.0,82.0,0.0,11.41
432,mehran,ir,30.58972973466531,45.40777428088043,1552784400,48.2,100.0,90.0,13.87
